Time /s,Voltage (V) vs Ref. ,WT,Blank
0.2,-0.8,-66.197,-29.102
0.4,-0.8,-65.36,-28.18
0.6,-0.8,-65.676,-27.911
0.8,-0.8,-65.532,-27.38
1,-0.8,-65.625,-26.513
1.2,-0.8,-65.016,-25.924
1.4,-0.8,-65.377,-25.487
1.6,-0.8,-68.579,-25.007
1.8,-0.8,-65.233,-24.828
2,-0.8,-64.431,-24.292
2.2,-0.8,-65.655,-23.881
2.4,-0.8,-66.299,-23.549
2.6,-0.8,-66.487,-23.281
2.8,-0.8,-65.139,-23.04
3,-0.8,-65.63,-22.61
3.2,-0.8,-64.707,-22.406
3.4,-0.8,-65.415,-22.297
3.6,-0.8,-65.184,-21.907
3.8,-0.8,-65.855,-21.457
4,-0.8,-65.753,-21.415
4.2,-0.8,-65.046,-21.151
4.4,-0.8,-64.257,-20.712
4.6,-0.8,-65.292,-20.602
4.8,-0.8,-64.809,-20.591
5,-0.8,-65.012,-20.112
5.2,-0.8,-65.245,-19.982
5.4,-0.8,-65.688,-20.205
5.6,-0.8,-65.133,-19.529
5.8,-0.8,-64.805,-19.388
6,-0.8,-64.155,-19.135
6.2,-0.8,-66.628,-19.288
6.4,-0.8,-66.52,-18.92
6.6,-0.8,-64.437,-18.647
6.8,-0.8,-64.605,-18.441
7,-0.8,-64.919,-18.321
7.2,-0.8,-65.625,-18.339
7.4,-0.8,-64.449,-18.063
7.6,-0.8,-65.424,-18.081
7.8,-0.8,-65.803,-17.706
8,-0.8,-65.706,-17.612
8.2,-0.8,-66.045,-17.57
8.4,-0.8,-64.567,-17.335
8.6,-0.8,-65.893,-17.372
8.8,-0.8,-64.753,-17.276
9,-0.8,-64.878,-16.938
9.2,-0.8,-64.753,-16.743
9.4,-0.8,-65.125,-16.964
9.6,-0.8,-64.691,-16.657
9.8,-0.8,-65.416,-16.609
10,-0.8,-65.029,-16.183
10.2,-0.8,-64.314,-16.464
10.4,-0.8,-64.613,-16.094
10.6,-0.8,-65.717,-16.092
10.8,-0.8,-65.15,-16.212
11,-0.8,-65.793,-16.103
11.2,-0.8,-66.026,-16.126
11.4,-0.8,-65.226,-15.363
11.6,-0.8,-64.46,-15.742
11.8,-0.8,-63.645,-15.879
12,-0.8,-62.644,-15.487
12.2,-0.8,-64.712,-15.358
12.4,-0.8,-62.475,-15.455
12.6,-0.8,-64.398,-15.571
12.8,-0.8,-64.088,-15.542
13,-0.8,-65.829,-15.341
13.2,-0.8,-64.656,-15.385
13.4,-0.8,-65.249,-15.006
13.6,-0.8,-65.457,-15.136
13.8,-0.8,-64.442,-15.048
14,-0.8,-64.847,-15.134
14.2,-0.8,-65.896,-14.516
14.4,-0.8,-64.875,-14.939
14.6,-0.8,-64.68,-14.826
14.8,-0.8,-63.789,-14.627
15,-0.8,-63.899,-15.052
15.2,-0.8,-64.956,-15.125
15.4,-0.8,-63.98,-14.596
15.6,-0.8,-64.956,-14.473
15.8,-0.8,-63.857,-14.918
16,-0.8,-64.52,-14.18
16.2,-0.8,-64.532,-14.359
16.4,-0.8,-64.774,-14.293
16.6,-0.8,-64.219,-14.45
16.8,-0.8,-64.027,-14.407
17,-0.8,-64.497,-14.103
17.2,-0.8,-65.123,-14.551
17.4,-0.8,-64.858,-14.158
17.6,-0.8,-64.29,-13.938
17.8,-0.8,-64.062,-13.648
18,-0.8,-62.86,-14.738
18.2,-0.8,-64.81,-13.489
18.4,-0.8,-63.376,-13.582
18.6,-0.8,-64.683,-13.522
18.8,-0.8,-64.12,-13.508
19,-0.8,-63.599,-13.995
19.2,-0.8,-64.744,-13.671
19.4,-0.8,-63.473,-13.656
19.6,-0.8,-64.474,-13.355
19.8,-0.8,-64.61,-13.49
20,-0.8,-63.597,-13.57
20.2,-0.8,-64.237,-13.644
20.4,-0.8,-63.909,-13.569
20.6,-0.8,-64.186,-13.467
20.8,-0.8,-63.331,-13.595
21,-0.8,-64.198,-13.195
21.2,-0.8,-64.319,-13.155
21.4,-0.8,-64.189,-13.487
21.6,-0.8,-64.072,-12.804
21.8,-0.8,-64.951,-13.056
22,-0.8,-62.793,-13.46
22.2,-0.8,-64.463,-12.938
22.4,-0.8,-64.744,-13.133
22.6,-0.8,-64.469,-13.009
22.8,-0.8,-64.279,-12.805
23,-0.8,-63.66,-12.8
23.2,-0.8,-64.242,-12.828
23.4,-0.8,-64.337,-12.967
23.6,-0.8,-64.162,-13.135
23.8,-0.8,-63.639,-12.733
24,-0.8,-64.502,-12.695
24.2,-0.8,-64.079,-12.902
24.4,-0.8,-65.214,-12.961
24.6,-0.8,-61.957,-12.52
24.8,-0.8,-64.75,-13.018
25,-0.8,-63.805,-12.422
25.2,-0.8,-63.108,-12.517
25.4,-0.8,-63.185,-12.459
25.6,-0.8,-63.197,-12.947
25.8,-0.8,-63.249,-12.169
26,-0.8,-64.681,-11.939
26.2,-0.8,-64.518,-12.565
26.4,-0.8,-64.497,-12.535
26.6,-0.8,-64.683,-12.446
26.8,-0.8,-64.799,-12.749
27,-0.8,-65.092,-12.826
27.2,-0.8,-64.267,-12.245
27.4,-0.8,-64.135,-12.537
27.6,-0.8,-63.371,-12.511
27.8,-0.8,-63.329,-12.248
28,-0.8,-63.627,-12.154
28.2,-0.8,-64.161,-12.385
28.4,-0.8,-63.58,-12.197
28.6,-0.8,-63.922,-12.288
28.8,-0.8,-63.199,-12.074
29,-0.8,-64.138,-12.339
29.2,-0.8,-64.125,-12.409
29.4,-0.8,-62.859,-12.146
29.6,-0.8,-63.231,-12.188
29.8,-0.8,-63.68,-12.153
30,-0.8,-63.129,-12.226
30.2,-0.8,-63.835,-12.303
30.4,-0.8,-63.499,-12.043
30.6,-0.8,-64.793,-12.136
30.8,-0.8,-63.559,-12.167
31,-0.8,-63.538,-12.179
31.2,-0.8,-63.784,-12.056
31.4,-0.8,-64.702,-12.109
31.6,-0.8,-63.094,-12.016
31.8,-0.8,-63.512,-11.807
32,-0.8,-63.222,-12.111
32.2,-0.8,-63.811,-11.78
32.4,-0.8,-63.698,-11.777
32.6,-0.8,-63.336,-12.06
32.8,-0.8,-65.102,-11.757
33,-0.8,-63.123,-11.77
33.2,-0.8,-63.434,-11.703
33.4,-0.8,-63.783,-11.771
33.6,-0.8,-63.705,-11.563
33.8,-0.8,-63.189,-11.78
34,-0.8,-63.69,-11.912
34.2,-0.8,-65.857,-11.737
34.4,-0.8,-63.171,-11.687
34.6,-0.8,-62.222,-11.799
34.8,-0.8,-63.499,-11.585
35,-0.8,-66.118,-11.77
35.2,-0.8,-65.434,-11.766
35.4,-0.8,-63.654,-11.734
35.6,-0.8,-64.063,-11.524
35.8,-0.8,-63.785,-11.723
36,-0.8,-63.029,-11.686
36.2,-0.8,-64.15,-11.757
36.4,-0.8,-63.48,-11.513
36.6,-0.8,-64.105,-11.574
36.8,-0.8,-64.821,-11.596
37,-0.8,-63.586,-11.278
37.2,-0.8,-64.332,-11.593
37.4,-0.8,-63.387,-11.883
37.6,-0.8,-63.681,-11.713
37.8,-0.8,-63.698,-11.105
38,-0.8,-62.581,-11.794
38.2,-0.8,-62.116,-11.481
38.4,-0.8,-63.778,-11.615
38.6,-0.8,-65.685,-11.557
38.8,-0.8,-62.67,-11.594
39,-0.8,-62.8,-12
39.2,-0.8,-62.996,-11.333
39.4,-0.8,-63.314,-11.777
39.6,-0.8,-63.579,-11.496
39.8,-0.8,-64.696,-11.415
40,-0.8,-63.7,-11.539
40.2,-0.8,-63.419,-11.321
40.4,-0.8,-62.62,-11.35
40.6,-0.8,-67.026,-11.487
40.8,-0.8,-62.669,-11.323
41,-0.8,-63.667,-11.482
41.2,-0.8,-63.363,-11.384
41.4,-0.8,-63.654,-11.317
41.6,-0.8,-63.488,-11.245
41.8,-0.8,-63.335,-11.288
42,-0.8,-62.776,-11.283
42.2,-0.8,-64.408,-10.954
42.4,-0.8,-62.556,-11.252
42.6,-0.8,-61.522,-11.115
42.8,-0.8,-62.421,-11.351
43,-0.8,-63.733,-11.221
43.2,-0.8,-63.001,-11.248
43.4,-0.8,-63.517,-11.268
43.6,-0.8,-63.098,-11.161
43.8,-0.8,-62.891,-11.07
